p01    Agriculture, hunting and related service activities
p02    Forestry, logging and related service activities
p05    Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing
p10    Mining of coal and lignite; extraction of peat
p11    Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction excluding surveying
p12    Mining of uranium and thorium ores
p13    Mining of metal ores
p14    Other mining and quarrying
p15    Manufacture of food products and beverages
p16    Manufacture of tobacco products
p17    Manufacture of textiles
p18    Manufacture of wearing apparel; dressing and dyeing of fur
p19    Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear
p20    Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials
p21    Manufacture of pulp, paper and paper products
p22    Publishing, printing and reproduction of recorded media
p23    Manufacture of coke, refined petroleum products and nuclear fuels
p24    Manufacture of chemicals and chemical products
p25    Manufacture of rubber and plastic products
p26    Manufacture of other non-metallic mineral products
p27    Manufacture of basic metals
p28    Manufacture of fabricated metal products, except machinery and equipment
p29    Manufacture of machinery and equipment n.e.c.
p30    Manufacture of office machinery and computers
p31    Manufacture of electrical machinery and apparatus n.e.c.
p32    Manufacture of radio, television and communication equipment and apparatus
p33    Manufacture of medical, precision and optical instruments, watches and clocks
p34    Manufacture of motor vehicles, trailers and semi-trailers
p35    Manufacture of other transport equipment
p36    Manufacture of furniture; manufacturing n.e.c.
p37    Recycling
p40    Electricity, gas, steam and hot water supply
p41    Collection, purification and distribution of water
p45    Construction
p50    Sale, maintenance and repair of motor vehicles and motorcycles; retail sale services of automotive fuel
p51    Wholesale trade and commission trade, except of motor vehicles and motorcycles
p52    Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods
p55    Hotels and restaurants
p60    Land transport; transport via pipelines
p61    Water transport
p62    Air transport
p63    Supporting and auxiliary transport activities; activities of travel agencies
p64    Post and telecommunications
p65    Financial intermediation, except insurance and pension funding
p66    Insurance and pension funding, except compulsory social security
p67    Activities auxiliary to financial intermediation
p70    Real estate activities
p71    Renting of machinery and equipment without operator and of personal and household goods
p72    Computer and related activities
p73    Research and development
p74    Other business activities
p75    Public administration and defence; compulsory social security
p80    Education
p85    Health and social work
p90    Sewage and refuse disposal, sanitation and similar activities
p91    Activities of membership organisation n.e.c.
p92    Recreational, cultural and sporting activities
p93    Other service activities
p95    Private households with employed persons
p99    Extra-territorial organizations and bodies     
